Value,Source,DMA
U.S.: Yuma-El Centro,Pinterest: Location Targeting Value,Yuma-El Centro
U.S.: Zanesville,Pinterest: Location Targeting Value,Zanesville
"Abilene-Sweetwater, TX",Search Ads 360: DMA Region name,Abilene-Sweetwater
"Albany, GA",Search Ads 360: DMA Region name,"Albany, GA"
"Albany-Schenectady-Troy, NY",Search Ads 360: DMA Region name,Albany-Schenectady-Troy
"Albuquerque-Santa Fe, NM",Search Ads 360: DMA Region name,Albuquerque-Santa Fe
"Alexandria, LA",Search Ads 360: DMA Region name,"Alexandria, LA"
"Alpena, MI",Search Ads 360: DMA Region name,Alpena
"Amarillo, TX",Search Ads 360: DMA Region name,Amarillo
"Anchorage, AK",Search Ads 360: DMA Region name,Anchorage
"Atlanta, GA",Search Ads 360: DMA Region name,Atlanta
"Augusta, GA",Search Ads 360: DMA Region name,Augusta-Aiken
"Austin, TX",Search Ads 360: DMA Region name,Austin
"Bakersfield, CA",Search Ads 360: DMA Region name,Bakersfield
"Baltimore, MD",Search Ads 360: DMA Region name,Baltimore
"Bangor, ME",Search Ads 360: DMA Region name,Bangor
"Baton Rouge, LA",Search Ads 360: DMA Region name,Baton Rouge
"Beaumont-Port Arthur, TX",Search Ads 360: DMA Region name,Beaumont-Port Arthur
"Bend, OR",Search Ads 360: DMA Region name,"Bend, OR"
"Billings, MT",Search Ads 360: DMA Region name,Billings
"Biloxi-Gulfport, MS",Search Ads 360: DMA Region name,Biloxi-Gulfport
"Binghamton, NY",Search Ads 360: DMA Region name,Binghamton
"Birmingham, AL",Search Ads 360: DMA Region name,Birmingham (Ann And Tusc)
"Bluefield-Beckley-Oak Hill, WV",Search Ads 360: DMA Region name,Bluefield-Beckley-Oak Hill
"Boise, ID",Search Ads 360: DMA Region name,Boise
"Boston, MA-Manchester, NH",Search Ads 360: DMA Region name,Boston (Manchester)
"Bowling Green, KY",Search Ads 360: DMA Region name,Bowling Green
"Buffalo, NY",Search Ads 360: DMA Region name,Buffalo
"Burlington, VT-Plattsburgh, NY",Search Ads 360: DMA Region name,Burlington-Plattsburgh
"Butte-Bozeman, MT",Search Ads 360: DMA Region name,Butte-Bozeman
"Casper-Riverton, WY",Search Ads 360: DMA Region name,Casper-Riverton
"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",Search Ads 360: DMA Region name,Cedar Rapids-Wtrlo-Iwc&Dub
"Champaign & Springfield-Decatur,IL",Search Ads 360: DMA Region name,Champaign&Sprngfld-Decatur
"Charleston, SC",Search Ads 360: DMA Region name,"Charleston, SC"
"Charleston-Huntington, WV",Search Ads 360: DMA Region name,Charleston-Huntington
"Charlotte, NC",Search Ads 360: DMA Region name,Charlotte
"Charlottesville, VA",Search Ads 360: DMA Region name,Charlottesville
"Chattanooga, TN",Search Ads 360: DMA Region name,Chattanooga
"Cheyenne, WY-Scottsbluff, NE",Search Ads 360: DMA Region name,Cheyenne-Scottsbluf
"Chicago, IL",Search Ads 360: DMA Region name,Chicago
"Chico-Redding, CA",Search Ads 360: DMA Region name,Chico-Redding
"Cincinnati, OH",Search Ads 360: DMA Region name,Cincinnati
"Clarksburg-Weston, WV",Search Ads 360: DMA Region name,Clarksburg-Weston
"Cleveland-Akron (Canton), OH",Search Ads 360: DMA Region name,Cleveland-Akron (Canton)
"Colorado Springs-Pueblo, CO",Search Ads 360: DMA Region name,Colorado Springs-Pueblo
"Columbia, SC",Search Ads 360: DMA Region name,"Columbia, SC"
"Columbia-Jefferson City, MO",Search Ads 360: DMA Region name,Columbia-Jefferson City
"Columbus, GA",Search Ads 360: DMA Region name,"Columbus, GA (Opelika, Al)"
"Columbus, OH",Search Ads 360: DMA Region name,"Columbus, OH"
"Columbus-Tupelo-West Point, MS",Search Ads 360: DMA Region name,Columbus-Tupelo-W Pnt-Hstn
"Corpus Christi, TX",Search Ads 360: DMA Region name,Corpus Christi
"Dallas-Ft. Worth, TX",Search Ads 360: DMA Region name,Dallas-Ft. Worth
"Davenport,IA-Rock Island-Moline,IL",Search Ads 360: DMA Region name,Davenport-R.Island-Moline
"Dayton, OH",Search Ads 360: DMA Region name,Dayton
"Denver, CO",Search Ads 360: DMA Region name,Denver
"Des Moines-Ames, IA",Search Ads 360: DMA Region name,Des Moines-Ames
"Detroit, MI",Search Ads 360: DMA Region name,Detroit
"Dothan, AL",Search Ads 360: DMA Region name,Dothan
"Duluth, MN-Superior, WI",Search Ads 360: DMA Region name,"Duluth, MN-Superior, WI"
"El Paso, TX",Search Ads 360: DMA Region name,El Paso (Las Cruces)
"Elmira, NY",Search Ads 360: DMA Region name,Elmira (Corning)
"Erie, PA",Search Ads 360: DMA Region name,Erie
"Eugene, OR",Search Ads 360: DMA Region name,Eugene
"Eureka, CA",Search Ads 360: DMA Region name,Eureka
"Evansville, IN",Search Ads 360: DMA Region name,Evansville
"Fairbanks, AK",Search Ads 360: DMA Region name,Fairbanks
"Fargo-Valley City, ND",Search Ads 360: DMA Region name,Fargo-Valley City
"Flint-Saginaw-Bay City, MI",Search Ads 360: DMA Region name,Flint-Saginaw-Bay City
"Florence-Myrtle Beach, SC",Search Ads 360: DMA Region name,Myrtle Beach-Florence
"Fresno-Visalia, CA",Search Ads 360: DMA Region name,Fresno-Visalia
"Ft. Myers-Naples, FL",Search Ads 360: DMA Region name,Ft. Myers-Naples
"Ft. Smith-Fayetteville-Springdale-Rogers, AR",Search Ads 360: DMA Region name,Ft. Smith-Fay-Sprngdl-Rgrs
"Ft. Wayne, IN",Search Ads 360: DMA Region name,Ft. Wayne
"Gainesville, FL",Search Ads 360: DMA Region name,Gainesville
"Glendive, MT",Search Ads 360: DMA Region name,Glendive
"Grand Junction-Montrose, CO",Search Ads 360: DMA Region name,Grand Junction-Montrose
"Grand Rapids-Kalamazoo-Battle Creek, MI",Search Ads 360: DMA Region name,Grand Rapids-Kalmzoo-B.Crk
"Great Falls, MT",Search Ads 360: DMA Region name,Great Falls
"Green Bay-Appleton, WI",Search Ads 360: DMA Region name,Green Bay-Appleton
"Greensboro-High Point-Winston Salem, NC",Search Ads 360: DMA Region name,Greensboro-H.Point-W.Salem
"Greenville-New Bern-Washington, NC",Search Ads 360: DMA Region name,Greenville-N.Bern-Washngtn
"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",Search Ads 360: DMA Region name,Greenvll-Spart-Ashevll-And
"Greenwood-Greenville, MS",Search Ads 360: DMA Region name,Greenwood-Greenville
"Harlingen-Weslaco-Brownsville-McAllen, TX",Search Ads 360: DMA Region name,Harlingen-Wslco-Brnsvl-Mca
"Harrisburg-Lancaster-Lebanon-York, PA",Search Ads 360: DMA Region name,Harrisburg-Lncstr-Leb-York
"Harrisonburg, VA",Search Ads 360: DMA Region name,Harrisonburg
"Hartford & New Haven, CT",Search Ads 360: DMA Region name,Hartford & New Haven
"Hattiesburg-Laurel, MS",Search Ads 360: DMA Region name,Hattiesburg-Laurel
"Helena, MT",Search Ads 360: DMA Region name,Helena
"Honolulu, HI",Search Ads 360: DMA Region name,Honolulu
"Houston, TX",Search Ads 360: DMA Region name,Houston
"Huntsville-Decatur (Florence), AL",Search Ads 360: DMA Region name,Huntsville-Decatur (Flor)
"Idaho Falls-Pocatello, ID",Search Ads 360: DMA Region name,Idaho Fals-Pocatllo(Jcksn)
"Indianapolis, IN",Search Ads 360: DMA Region name,Indianapolis
"Jackson, MS",Search Ads 360: DMA Region name,"Jackson, MS"
"Jackson, TN",Search Ads 360: DMA Region name,"Jackson, TN"
"Jacksonville, FL",Search Ads 360: DMA Region name,Jacksonville
"Johnstown-Altoona, PA",Search Ads 360: DMA Region name,Johnstown-Altoona-St Colge
"Jonesboro, AR",Search Ads 360: DMA Region name,Jonesboro
"Joplin, MO-Pittsburg, KS",Search Ads 360: DMA Region name,Joplin-Pittsburg
JP_CHUKYO,Search Ads 360: DMA Region name,No Metro
JP_KANTO,Search Ads 360: DMA Region name,No Metro
JP_KINKI,Search Ads 360: DMA Region name,No Metro
JP_OTHER,Search Ads 360: DMA Region name,No Metro
"Juneau, AK",Search Ads 360: DMA Region name,Juneau
"Kansas City, MO",Search Ads 360: DMA Region name,Kansas City
"Knoxville, TN",Search Ads 360: DMA Region name,Knoxville
"La Crosse-Eau Claire, WI",Search Ads 360: DMA Region name,La Crosse-Eau Claire
"Lafayette, IN",Search Ads 360: DMA Region name,"Lafayette, IN"
"Lafayette, LA",Search Ads 360: DMA Region name,"Lafayette, LA"
"Lake Charles, LA",Search Ads 360: DMA Region name,Lake Charles
"Lansing, MI",Search Ads 360: DMA Region name,Lansing
"Laredo, TX",Search Ads 360: DMA Region name,Laredo
"Las Vegas, NV",Search Ads 360: DMA Region name,Las Vegas
"Lexington, KY",Search Ads 360: DMA Region name,Lexington
"Lima, OH",Search Ads 360: DMA Region name,Lima
"Lincoln & Hastings-Kearney, NE",Search Ads 360: DMA Region name,Lincoln & Hastings-Krny
"Little Rock-Pine Bluff, AR",Search Ads 360: DMA Region name,Little Rock-Pine Bluff
"Los Angeles, CA",Search Ads 360: DMA Region name,Los Angeles
"Louisville, KY",Search Ads 360: DMA Region name,Louisville
"Lubbock, TX",Search Ads 360: DMA Region name,Lubbock
"Macon, GA",Search Ads 360: DMA Region name,Macon
"Madison, WI",Search Ads 360: DMA Region name,Madison
"Mankato, MN",Search Ads 360: DMA Region name,Mankato
"Marquette, MI",Search Ads 360: DMA Region name,Marquette
"Medford-Klamath Falls, OR",Search Ads 360: DMA Region name,Medford-Klamath Falls
"Memphis, TN",Search Ads 360: DMA Region name,Memphis
"Meridian, MS",Search Ads 360: DMA Region name,Meridian
"Miami-Ft. Lauderdale, FL",Search Ads 360: DMA Region name,Miami-Ft. Lauderdale
"Milwaukee, WI",Search Ads 360: DMA Region name,Milwaukee
"Minneapolis-St. Paul, MN",Search Ads 360: DMA Region name,Minneapolis-St. Paul
"Minot-Bismarck-Dickinson(Williston), ND",Search Ads 360: DMA Region name,Minot-Bsmrck-Dcknsn(Wlstn)
"Missoula, MT",Search Ads 360: DMA Region name,Missoula
"Mobile, AL-Pensacola (Ft. Walton Beach), FL",Search Ads 360: DMA Region name,Mobile-Pensacola (Ft Walt)
"Monroe, LA-El Dorado, AR",Search Ads 360: DMA Region name,Monroe-El Dorado
"Monterey-Salinas, CA",Search Ads 360: DMA Region name,Monterey-Salinas
"Montgomery (Selma), AL",Search Ads 360: DMA Region name,Montgomery-Selma
"Nashville, TN",Search Ads 360: DMA Region name,Nashville
"New Orleans, LA",Search Ads 360: DMA Region name,New Orleans
"New York, NY",Search Ads 360: DMA Region name,New York
"Norfolk-Portsmouth-Newport News,VA",Search Ads 360: DMA Region name,Norfolk-Portsmth-Newpt Nws
"North Platte, NE",Search Ads 360: DMA Region name,North Platte
"Odessa-Midland, TX",Search Ads 360: DMA Region name,Odessa-Midland
"Oklahoma City, OK",Search Ads 360: DMA Region name,Oklahoma City
"Omaha, NE",Search Ads 360: DMA Region name,Omaha
"Orlando-Daytona Beach-Melbourne, FL",Search Ads 360: DMA Region name,Orlando-Daytona Bch-Melbrn
"Ottumwa, IA-Kirksville, MO",Search Ads 360: DMA Region name,Ottumwa-Kirksville
"Paducah, KY-Cape Girardeau, MO-Harrisburg-Mount Vernon, IL",Search Ads 360: DMA Region name,Paducah-Cape Girard-Harsbg
"Palm Springs, CA",Search Ads 360: DMA Region name,Palm Springs
"Panama City, FL",Search Ads 360: DMA Region name,Panama City
"Parkersburg, WV",Search Ads 360: DMA Region name,Parkersburg
"Peoria-Bloomington, IL",Search Ads 360: DMA Region name,Peoria-Bloomington
"Philadelphia, PA",Search Ads 360: DMA Region name,Philadelphia
"Phoenix, AZ",Search Ads 360: DMA Region name,Phoenix (Prescott)
"Pittsburgh, PA",Search Ads 360: DMA Region name,Pittsburgh
"Portland, OR",Search Ads 360: DMA Region name,"Portland, OR"
"Portland-Auburn, ME",Search Ads 360: DMA Region name,Portland-Auburn
"Presque Isle, ME",Search Ads 360: DMA Region name,Presque Isle
"Providence, RI-New Bedford, MA",Search Ads 360: DMA Region name,Providence-New Bedford
"Quincy, IL-Hannibal, MO-Keokuk, IA",Search Ads 360: DMA Region name,Quincy-Hannibal-Keokuk
"Raleigh-Durham (Fayetteville), NC",Search Ads 360: DMA Region name,Raleigh-Durham (Fayetvlle)
"Rapid City, SD",Search Ads 360: DMA Region name,Rapid City
"Reno, NV",Search Ads 360: DMA Region name,Reno
"Richmond-Petersburg, VA",Search Ads 360: DMA Region name,Richmond-Petersburg
"Roanoke-Lynchburg, VA",Search Ads 360: DMA Region name,Roanoke-Lynchburg
"Rochester, MN-Mason City, IA-Austin, MN",Search Ads 360: DMA Region name,Rochester-Mason City-Austin
"Rochester, NY",Search Ads 360: DMA Region name,"Rochester, NY"
"Rockford, IL",Search Ads 360: DMA Region name,Rockford
"Sacramento-Stockton-Modesto, CA",Search Ads 360: DMA Region name,Sacramnto-Stkton-Modesto
"Salisbury, MD",Search Ads 360: DMA Region name,Salisbury
"Salt Lake City, UT",Search Ads 360: DMA Region name,Salt Lake City
"San Angelo, TX",Search Ads 360: DMA Region name,San Angelo
"San Antonio, TX",Search Ads 360: DMA Region name,San Antonio
"San Diego, CA",Search Ads 360: DMA Region name,San Diego
"San Francisco-Oakland-San Jose, CA",Search Ads 360: DMA Region name,San Francisco-Oak-San Jose
"Santa Barbara-Santa Maria-San Luis Obispo, CA",Search Ads 360: DMA Region name,Santabarbra-Sanmar-Sanluob
"Savannah, GA",Search Ads 360: DMA Region name,Savannah
"Seattle-Tacoma, WA",Search Ads 360: DMA Region name,Seattle-Tacoma
"Sherman, TX-Ada, OK",Search Ads 360: DMA Region name,Sherman-Ada
"Shreveport, LA",Search Ads 360: DMA Region name,Shreveport
"Sioux City, IA",Search Ads 360: DMA Region name,Sioux City
"Sioux Falls(Mitchell), SD",Search Ads 360: DMA Region name,Sioux Falls(Mitchell)
"South Bend-Elkhart, IN",Search Ads 360: DMA Region name,South Bend-Elkhart
"Spokane, WA",Search Ads 360: DMA Region name,Spokane
"Springfield, MO",Search Ads 360: DMA Region name,"Springfield, MO"
"Springfield-Holyoke, MA",Search Ads 360: DMA Region name,Springfield-Holyoke
"St. Joseph, MO",Search Ads 360: DMA Region name,St. Joseph
"St. Louis, MO",Search Ads 360: DMA Region name,St. Louis
"Syracuse, NY",Search Ads 360: DMA Region name,Syracuse
"Tallahassee, FL-Thomasville, GA",Search Ads 360: DMA Region name,Tallahassee-Thomasville
"Tampa-St Petersburg (Sarasota), FL",Search Ads 360: DMA Region name,Tampa-St. Pete (Sarasota)
"Terre Haute, IN",Search Ads 360: DMA Region name,Terre Haute
"Toledo, OH",Search Ads 360: DMA Region name,Toledo
"Topeka, KS",Search Ads 360: DMA Region name,Topeka
"Traverse City-Cadillac, MI",Search Ads 360: DMA Region name,Traverse City-Cadillac
"Tri-Cities, TN-VA",Search Ads 360: DMA Region name,"Tri-Cities, TN-VA"
"Tucson (Sierra Vista), AZ",Search Ads 360: DMA Region name,Tucson (Sierra Vista)
"Tulsa, OK",Search Ads 360: DMA Region name,Tulsa
"Twin Falls, ID",Search Ads 360: DMA Region name,Twin Falls
"Tyler-Longview(Lufkin & Nacogdoches), TX",Search Ads 360: DMA Region name,Tyler-Longview(Lfkn&Ncgd)
"Utica, NY",Search Ads 360: DMA Region name,Utica
"Victoria, TX",Search Ads 360: DMA Region name,Victoria
"Waco-Temple-Bryan, TX",Search Ads 360: DMA Region name,Waco-Temple-Bryan
"Washington, DC (Hagerstown, MD)",Search Ads 360: DMA Region name,"Washington, DC (Hagrstwn)"
"Watertown, NY",Search Ads 360: DMA Region name,Watertown
"Wausau-Rhinelander, WI",Search Ads 360: DMA Region name,Wausau-Rhinelander
"West Palm Beach-Ft. Pierce, FL",Search Ads 360: DMA Region name,West Palm Beach-Ft. Pierce
"Wheeling, WV-Steubenville, OH",Search Ads 360: DMA Region name,Wheeling-Steubenville
"Wichita Falls, TX & Lawton, OK",Search Ads 360: DMA Region name,Wichita Falls & Lawton
"Wichita-Hutchinson, KS",Search Ads 360: DMA Region name,Wichita-Hutchinson Plus
"Wilkes Barre-Scranton, PA",Search Ads 360: DMA Region name,Wilkes Barre-Scranton-Hztn
"Wilmington, NC",Search Ads 360: DMA Region name,Wilmington
"Yakima-Pasco-Richland-Kennewick, WA",Search Ads 360: DMA Region name,Yakima-Pasco-Rchlnd-Knnwck
"Youngstown, OH",Search Ads 360: DMA Region name,Youngstown
"Yuma, AZ-El Centro, CA",Search Ads 360: DMA Region name,Yuma-El Centro
"Zanesville, OH",Search Ads 360: DMA Region name,Zanesville
Abilene-Sweetwater TX,The Trade Desk: Metro,Abilene-Sweetwater
Albany GA,The Trade Desk: Metro,"Albany, GA"
Albany-Schenectady-Troy NY,The Trade Desk: Metro,Albany-Schenectady-Troy
Albuquerque-Santa Fe NM,The Trade Desk: Metro,Albuquerque-Santa Fe
Alexandria LA,The Trade Desk: Metro,"Alexandria, LA"
Alpena MI,The Trade Desk: Metro,Alpena
Amarillo TX,The Trade Desk: Metro,Amarillo
Atlanta GA,The Trade Desk: Metro,Atlanta
Augusta GA,The Trade Desk: Metro,Augusta-Aiken
Austin TX,The Trade Desk: Metro,Austin
Bakersfield CA,The Trade Desk: Metro,Bakersfield
Baltimore MD,The Trade Desk: Metro,Baltimore
Bangor ME,The Trade Desk: Metro,Bangor
Baton Rouge LA,The Trade Desk: Metro,Baton Rouge
Beaumont-Port Arthur TX,The Trade Desk: Metro,Beaumont-Port Arthur
Bend OR,The Trade Desk: Metro,"Bend, OR"
Billings MT,The Trade Desk: Metro,Billings
Biloxi-Gulfport MS,The Trade Desk: Metro,Biloxi-Gulfport
Binghamton NY,The Trade Desk: Metro,Binghamton
Birmingham AL,The Trade Desk: Metro,Birmingham (Ann And Tusc)
Bluefield-Beckley-Oak Hill WV,The Trade Desk: Metro,Bluefield-Beckley-Oak Hill
Boise ID,The Trade Desk: Metro,Boise
Boston MA-Manchester NH,The Trade Desk: Metro,Boston (Manchester)
Bowling Green KY,The Trade Desk: Metro,Bowling Green
Buffalo NY,The Trade Desk: Metro,Buffalo
Burlington VT-Plattsburgh NY,The Trade Desk: Metro,Burlington-Plattsburgh
Butte-Bozeman MT,The Trade Desk: Metro,Butte-Bozeman
Casper-Riverton WY,The Trade Desk: Metro,Casper-Riverton
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,The Trade Desk: Metro,Cedar Rapids-Wtrlo-Iwc&Dub
"Champaign & Springfield-Decatur,IL",The Trade Desk: Metro,Champaign&Sprngfld-Decatur
Charleston SC,The Trade Desk: Metro,"Charleston, SC"
Charleston-Huntington WV,The Trade Desk: Metro,Charleston-Huntington
Charlotte NC,The Trade Desk: Metro,Charlotte
Charlottesville VA,The Trade Desk: Metro,Charlottesville
Chattanooga TN,The Trade Desk: Metro,Chattanooga
Cheyenne WY-Scottsbluff NE,The Trade Desk: Metro,Cheyenne-Scottsbluf
Chicago IL,The Trade Desk: Metro,Chicago
Chico-Redding CA,The Trade Desk: Metro,Chico-Redding
Cincinnati OH,The Trade Desk: Metro,Cincinnati
Clarksburg-Weston WV,The Trade Desk: Metro,Clarksburg-Weston
Cleveland-Akron (Canton) OH,The Trade Desk: Metro,Cleveland-Akron (Canton)
Colorado Springs-Pueblo CO,The Trade Desk: Metro,Colorado Springs-Pueblo
Columbia SC,The Trade Desk: Metro,"Columbia, SC"
Columbia-Jefferson City MO,The Trade Desk: Metro,Columbia-Jefferson City
Columbus GA,The Trade Desk: Metro,"Columbus, GA (Opelika, Al)"
Columbus OH,The Trade Desk: Metro,"Columbus, OH"
Columbus-Tupelo-West Point MS,The Trade Desk: Metro,Columbus-Tupelo-W Pnt-Hstn
Corpus Christi TX,The Trade Desk: Metro,Corpus Christi
Dallas-Ft. Worth TX,The Trade Desk: Metro,Dallas-Ft. Worth
Davenport IA-Rock Island-Moline IL,The Trade Desk: Metro,Davenport-R.Island-Moline
Dayton OH,The Trade Desk: Metro,Dayton
Denver CO,The Trade Desk: Metro,Denver
Des Moines-Ames IA,The Trade Desk: Metro,Des Moines-Ames
Detroit MI,The Trade Desk: Metro,Detroit
Dothan AL,The Trade Desk: Metro,Dothan
Duluth MN-Superior WI,The Trade Desk: Metro,"Duluth, MN-Superior, WI"
El Paso TX,The Trade Desk: Metro,El Paso (Las Cruces)
Elmira NY,The Trade Desk: Metro,Elmira (Corning)
Erie PA,The Trade Desk: Metro,Erie
Eugene OR,The Trade Desk: Metro,Eugene
Eureka CA,The Trade Desk: Metro,Eureka
Evansville IN,The Trade Desk: Metro,Evansville
Fargo-Valley City ND,The Trade Desk: Metro,Fargo-Valley City
Flint-Saginaw-Bay City MI,The Trade Desk: Metro,Flint-Saginaw-Bay City
Florence-Myrtle Beach SC,The Trade Desk: Metro,Myrtle Beach-Florence
Fresno-Visalia CA,The Trade Desk: Metro,Fresno-Visalia
Ft. Myers-Naples FL,The Trade Desk: Metro,Ft. Myers-Naples
Ft. Smith-Fayetteville-Springdale-Rogers AR,The Trade Desk: Metro,Ft. Smith-Fay-Sprngdl-Rgrs
Ft. Wayne IN,The Trade Desk: Metro,Ft. Wayne
Gainesville FL,The Trade Desk: Metro,Gainesville
Glendive MT,The Trade Desk: Metro,Glendive
Grand Junction-Montrose CO,The Trade Desk: Metro,Grand Junction-Montrose
Grand Rapids-Kalamazoo-Battle Creek MI,The Trade Desk: Metro,Grand Rapids-Kalmzoo-B.Crk
Great Falls MT,The Trade Desk: Metro,Great Falls
Green Bay-Appleton WI,The Trade Desk: Metro,Green Bay-Appleton
Greensboro-High Point-Winston Salem NC,The Trade Desk: Metro,Greensboro-H.Point-W.Salem
Greenville-New Bern-Washington NC,The Trade Desk: Metro,Greenville-N.Bern-Washngtn
Greenville-Spartanburg SC-Asheville NC-Anderson SC,The Trade Desk: Metro,Greenvll-Spart-Ashevll-And
Greenwood-Greenville MS,The Trade Desk: Metro,Greenwood-Greenville
Harlingen-Weslaco-Brownsville-McAllen TX,The Trade Desk: Metro,Harlingen-Wslco-Brnsvl-Mca
Harrisburg-Lancaster-Lebanon-York PA,The Trade Desk: Metro,Harrisburg-Lncstr-Leb-York
Harrisonburg VA,The Trade Desk: Metro,Harrisonburg
Hartford & New Haven CT,The Trade Desk: Metro,Hartford & New Haven
Hattiesburg-Laurel MS,The Trade Desk: Metro,Hattiesburg-Laurel
Helena MT,The Trade Desk: Metro,Helena
Honolulu HI,The Trade Desk: Metro,Honolulu
Houston TX,The Trade Desk: Metro,Houston
Huntsville-Decatur (Florence) AL,The Trade Desk: Metro,Huntsville-Decatur (Flor)
Idaho Falls-Pocatello ID,The Trade Desk: Metro,Idaho Fals-Pocatllo(Jcksn)
Indianapolis IN,The Trade Desk: Metro,Indianapolis
Jackson MS,The Trade Desk: Metro,"Jackson, MS"
Jackson TN,The Trade Desk: Metro,"Jackson, TN"
Jacksonville FL,The Trade Desk: Metro,Jacksonville
Johnstown-Altoona PA,The Trade Desk: Metro,Johnstown-Altoona-St Colge
Jonesboro AR,The Trade Desk: Metro,Jonesboro
Joplin MO-Pittsburg KS,The Trade Desk: Metro,Joplin-Pittsburg
Kansas City MO,The Trade Desk: Metro,Kansas City
Knoxville TN,The Trade Desk: Metro,Knoxville
La Crosse-Eau Claire WI,The Trade Desk: Metro,La Crosse-Eau Claire
Lafayette IN,The Trade Desk: Metro,"Lafayette, IN"
Lafayette LA,The Trade Desk: Metro,"Lafayette, LA"
Lake Charles LA,The Trade Desk: Metro,Lake Charles
Lansing MI,The Trade Desk: Metro,Lansing
Laredo TX,The Trade Desk: Metro,Laredo
Las Vegas NV,The Trade Desk: Metro,Las Vegas
Lexington KY,The Trade Desk: Metro,Lexington
Lima OH,The Trade Desk: Metro,Lima
Lincoln & Hastings-Kearney NE,The Trade Desk: Metro,Lincoln & Hastings-Krny
Little Rock-Pine Bluff AR,The Trade Desk: Metro,Little Rock-Pine Bluff
Los Angeles CA,The Trade Desk: Metro,Los Angeles
Louisville KY,The Trade Desk: Metro,Louisville
Lubbock TX,The Trade Desk: Metro,Lubbock
Macon GA,The Trade Desk: Metro,Macon
Madison WI,The Trade Desk: Metro,Madison
Mankato MN,The Trade Desk: Metro,Mankato
Marquette MI,The Trade Desk: Metro,Marquette
Medford-Klamath Falls OR,The Trade Desk: Metro,Medford-Klamath Falls
Memphis TN,The Trade Desk: Metro,Memphis
Meridian MS,The Trade Desk: Metro,Meridian
Miami-Ft. Lauderdale FL,The Trade Desk: Metro,Miami-Ft. Lauderdale
Milwaukee WI,The Trade Desk: Metro,Milwaukee
Minneapolis-St. Paul MN,The Trade Desk: Metro,Minneapolis-St. Paul
Minot-Bismarck-Dickinson(Williston) ND,The Trade Desk: Metro,Minot-Bsmrck-Dcknsn(Wlstn)
Missoula MT,The Trade Desk: Metro,Missoula
Mobile AL-Pensacola (Ft. Walton Beach) FL,The Trade Desk: Metro,Mobile-Pensacola (Ft Walt)
Monroe LA-El Dorado AR,The Trade Desk: Metro,Monroe-El Dorado
Monterey-Salinas CA,The Trade Desk: Metro,Monterey-Salinas
Montgomery (Selma) AL,The Trade Desk: Metro,Montgomery-Selma
Nashville TN,The Trade Desk: Metro,Nashville
New Orleans LA,The Trade Desk: Metro,New Orleans
New York NY,The Trade Desk: Metro,New York
Norfolk-Portsmouth-Newport News VA,The Trade Desk: Metro,Norfolk-Portsmth-Newpt Nws
North Platte NE,The Trade Desk: Metro,North Platte
Odessa-Midland TX,The Trade Desk: Metro,Odessa-Midland
Oklahoma City OK,The Trade Desk: Metro,Oklahoma City
Omaha NE,The Trade Desk: Metro,Omaha
Orlando-Daytona Beach-Melbourne FL,The Trade Desk: Metro,Orlando-Daytona Bch-Melbrn
Ottumwa IA-Kirksville MO,The Trade Desk: Metro,Ottumwa-Kirksville
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,The Trade Desk: Metro,Paducah-Cape Girard-Harsbg
Palm Springs CA,The Trade Desk: Metro,Palm Springs
Panama City FL,The Trade Desk: Metro,Panama City
Parkersburg WV,The Trade Desk: Metro,Parkersburg
Peoria-Bloomington IL,The Trade Desk: Metro,Peoria-Bloomington
Philadelphia PA,The Trade Desk: Metro,Philadelphia
Phoenix AZ,The Trade Desk: Metro,Phoenix (Prescott)
Pittsburgh PA,The Trade Desk: Metro,Pittsburgh
Portland OR,The Trade Desk: Metro,"Portland, OR"
Portland-Auburn ME,The Trade Desk: Metro,Portland-Auburn
Presque Isle ME,The Trade Desk: Metro,Presque Isle
Providence RI-New Bedford MA,The Trade Desk: Metro,Providence-New Bedford
Quincy IL-Hannibal MO-Keokuk IA,The Trade Desk: Metro,Quincy-Hannibal-Keokuk
Raleigh-Durham (Fayetteville) NC,The Trade Desk: Metro,Raleigh-Durham (Fayetvlle)
Rapid City SD,The Trade Desk: Metro,Rapid City
Reno NV,The Trade Desk: Metro,Reno
Richmond-Petersburg VA,The Trade Desk: Metro,Richmond-Petersburg
Roanoke-Lynchburg VA,The Trade Desk: Metro,Roanoke-Lynchburg
Rochester MN-Mason City IA-Austin MN,The Trade Desk: Metro,Rochester-Mason City-Austin
Rochester NY,The Trade Desk: Metro,"Rochester, NY"
Rockford IL,The Trade Desk: Metro,Rockford
Sacramento-Stockton-Modesto CA,The Trade Desk: Metro,Sacramnto-Stkton-Modesto
Salisbury MD,The Trade Desk: Metro,Salisbury
Salt Lake City UT,The Trade Desk: Metro,Salt Lake City
San Angelo TX,The Trade Desk: Metro,San Angelo
San Antonio TX,The Trade Desk: Metro,San Antonio
San Diego CA,The Trade Desk: Metro,San Diego
San Francisco-Oakland-San Jose CA,The Trade Desk: Metro,San Francisco-Oak-San Jose
Santa Barbara-Santa Maria-San Luis Obispo CA,The Trade Desk: Metro,Santabarbra-Sanmar-Sanluob
