Value,Source,DMA
Cedar Rapids/Waterloo/Dubuque,Campaign Manager,Cedar Rapids-Wtrlo-Iwc&Dub
Champaign/Springfield/Decatur,Campaign Manager,Champaign&Sprngfld-Decatur
Charleston/Huntington,Campaign Manager,Charleston-Huntington
Charleston-Sc,Campaign Manager,"Charleston, SC"
Charlotte,Campaign Manager,Charlotte
Charlottesville,Campaign Manager,Charlottesville
Chattanooga,Campaign Manager,Chattanooga
Cheyenne/Scottsbluff,Campaign Manager,Cheyenne-Scottsbluf
Chicago,Campaign Manager,Chicago
Chico/Redding,Campaign Manager,Chico-Redding
Cincinnati,Campaign Manager,Cincinnati
Clarksburg/Weston,Campaign Manager,Clarksburg-Weston
Cleveland,Campaign Manager,Cleveland-Akron (Canton)
Colorado Springs/Pueblo,Campaign Manager,Colorado Springs-Pueblo
Columbia/Jefferson City,Campaign Manager,Columbia-Jefferson City
Columbia-Sc,Campaign Manager,"Columbia, SC"
Columbus/Tupelo/West Point,Campaign Manager,Columbus-Tupelo-W Pnt-Hstn
Columbus-Ga,Campaign Manager,"Columbus, GA (Opelika, Al)"
Columbus-Oh,Campaign Manager,"Columbus, OH"
Corpus Christi,Campaign Manager,Corpus Christi
Dallas/Fort Worth,Campaign Manager,Dallas-Ft. Worth
Davenport/Rock Island/Moline,Campaign Manager,Davenport-R.Island-Moline
Dayton,Campaign Manager,Dayton
Denver,Campaign Manager,Denver
Des Moines/Ames,Campaign Manager,Des Moines-Ames
Detroit,Campaign Manager,Detroit
Dothan,Campaign Manager,Dothan
Duluth/Superior,Campaign Manager,"Duluth, MN-Superior, WI"
El Paso,Campaign Manager,El Paso (Las Cruces)
Elmira,Campaign Manager,Elmira (Corning)
Erie,Campaign Manager,Erie
Eugene,Campaign Manager,Eugene
Eureka,Campaign Manager,Eureka
Evansville,Campaign Manager,Evansville
Fairbanks,Campaign Manager,Fairbanks
Fargo/Valley City,Campaign Manager,Fargo-Valley City
Flint/Saginaw/Bay City,Campaign Manager,Flint-Saginaw-Bay City
Florence/Myrtle Beach,Campaign Manager,Myrtle Beach-Florence
Fort Myers/Naples,Campaign Manager,Ft. Myers-Naples
Fort Smith/Fayetteville/Springdale/Rogers,Campaign Manager,Ft. Smith-Fay-Sprngdl-Rgrs
Fort Wayne,Campaign Manager,Ft. Wayne
Fresno/Visalia,Campaign Manager,Fresno-Visalia
Gainesville,Campaign Manager,Gainesville
Glendive,Campaign Manager,Glendive
Grand Junction/Montrose,Campaign Manager,Grand Junction-Montrose
Grand Rapids/Kalamazoo/Battle Creek,Campaign Manager,Grand Rapids-Kalmzoo-B.Crk
Great Falls,Campaign Manager,Great Falls
Green Bay/Appleton,Campaign Manager,Green Bay-Appleton
Greensboro/High Point/Winston-Salem,Campaign Manager,Greensboro-H.Point-W.Salem
Greenville/New Bern/Washington,Campaign Manager,Greenville-N.Bern-Washngtn
Greenville/Spartanburg/Asheville/Anderson,Campaign Manager,Greenvll-Spart-Ashevll-And
Greenwood/Greenville,Campaign Manager,Greenwood-Greenville
Harlingen/Weslaco/Brownsville/Mcallen,Campaign Manager,Harlingen-Wslco-Brnsvl-Mca
Harrisburg/Lancaster/Lebanon/York,Campaign Manager,Harrisburg-Lncstr-Leb-York
Harrisonburg,Campaign Manager,Harrisonburg
Hartford/New Haven,Campaign Manager,Hartford & New Haven
Hattiesburg/Laurel,Campaign Manager,Hattiesburg-Laurel
Helena,Campaign Manager,Helena
Honolulu,Campaign Manager,Honolulu
Houston,Campaign Manager,Houston
Huntsville/Decatur/Florence,Campaign Manager,Huntsville-Decatur (Flor)
Idaho Falls/Pocatello,Campaign Manager,Idaho Fals-Pocatllo(Jcksn)
Indianapolis,Campaign Manager,Indianapolis
Jackson-Ms,Campaign Manager,"Jackson, MS"
Jackson-Tn,Campaign Manager,"Jackson, TN"
Jacksonville-Brunswick,Campaign Manager,Jacksonville
Johnstown/Altoona,Campaign Manager,Johnstown-Altoona-St Colge
Jonesboro,Campaign Manager,Jonesboro
Joplin/Pittsburg,Campaign Manager,Joplin-Pittsburg
Juneau,Campaign Manager,Juneau
Kansas City,Campaign Manager,Kansas City
Knoxville,Campaign Manager,Knoxville
La Crosse/Eau Claire,Campaign Manager,La Crosse-Eau Claire
Lafayette-In,Campaign Manager,"Lafayette, IN"
Lafayette-La,Campaign Manager,"Lafayette, LA"
Lake Charles,Campaign Manager,Lake Charles
Lansing,Campaign Manager,Lansing
Laredo,Campaign Manager,Laredo
Las Vegas,Campaign Manager,Las Vegas
Lexington,Campaign Manager,Lexington
Lima,Campaign Manager,Lima
Lincoln/Hastings/Kearney,Campaign Manager,Lincoln & Hastings-Krny
Little Rock/Pine Bluff,Campaign Manager,Little Rock-Pine Bluff
Los Angeles,Campaign Manager,Los Angeles
Louisville,Campaign Manager,Louisville
Lubbock,Campaign Manager,Lubbock
Macon,Campaign Manager,Macon
Madison,Campaign Manager,Madison
Mankato,Campaign Manager,Mankato
Marquette,Campaign Manager,Marquette
Medford/Klamath Falls,Campaign Manager,Medford-Klamath Falls
Memphis,Campaign Manager,Memphis
Meridian,Campaign Manager,Meridian
Miami/Fort Lauderdale,Campaign Manager,Miami-Ft. Lauderdale
Milwaukee,Campaign Manager,Milwaukee
Minneapolis/Saint Paul,Campaign Manager,Minneapolis-St. Paul
Minot/Bismarck/Dickinson,Campaign Manager,Minot-Bsmrck-Dcknsn(Wlstn)
Missoula,Campaign Manager,Missoula
Mobile/Pensacola/Fort Walton Beach,Campaign Manager,Mobile-Pensacola (Ft Walt)
Monroe/El Dorado,Campaign Manager,Monroe-El Dorado
Monterey/Salinas,Campaign Manager,Monterey-Salinas
Montgomery/Selma,Campaign Manager,Montgomery-Selma
Nashville,Campaign Manager,Nashville
New Orleans,Campaign Manager,New Orleans
New York,Campaign Manager,New York
No Metro,Campaign Manager,No Metro
Norfolk/Portsmouth/Newport News,Campaign Manager,Norfolk-Portsmth-Newpt Nws
North Platte,Campaign Manager,North Platte
Odessa/Midland,Campaign Manager,Odessa-Midland
Oklahoma City,Campaign Manager,Oklahoma City
Omaha,Campaign Manager,Omaha
Orlando/Daytona Beach/Melbourne,Campaign Manager,Orlando-Daytona Bch-Melbrn
Ottumwa/Kirksville,Campaign Manager,Ottumwa-Kirksville
Paducah/Cape Girardeau/Harrisburg/Mt Vernon,Campaign Manager,Paducah-Cape Girard-Harsbg
Palm Springs,Campaign Manager,Palm Springs
Panama City,Campaign Manager,Panama City
Parkersburg,Campaign Manager,Parkersburg
Peoria/Bloomington,Campaign Manager,Peoria-Bloomington
Philadelphia,Campaign Manager,Philadelphia
Phoenix,Campaign Manager,Phoenix (Prescott)
Pittsburgh,Campaign Manager,Pittsburgh
Portland/Auburn,Campaign Manager,Portland-Auburn
Portland-Or,Campaign Manager,"Portland, OR"
Presque Isle,Campaign Manager,Presque Isle
Providence/New Bedford,Campaign Manager,Providence-New Bedford
Quincy/Hannibal/Keokuk,Campaign Manager,Quincy-Hannibal-Keokuk
Raleigh/Durham,Campaign Manager,Raleigh-Durham (Fayetvlle)
Rapid City,Campaign Manager,Rapid City
Reno,Campaign Manager,Reno
Richmond/Petersburg,Campaign Manager,Richmond-Petersburg
Roanoke/Lynchburg,Campaign Manager,Roanoke-Lynchburg
Rochester/Mason City/Austin,Campaign Manager,Rochester-Mason City-Austin
Rochester-Ny,Campaign Manager,"Rochester, NY"
Rockford,Campaign Manager,Rockford
Sacramento/Stockton/Modesto,Campaign Manager,Sacramnto-Stkton-Modesto
Saint Joseph,Campaign Manager,St. Joseph
Saint Louis,Campaign Manager,St. Louis
Salisbury,Campaign Manager,Salisbury
Salt Lake City,Campaign Manager,Salt Lake City
San Angelo,Campaign Manager,San Angelo
San Antonio,Campaign Manager,San Antonio
San Diego,Campaign Manager,San Diego
San Francisco/Oakland/San Jose,Campaign Manager,San Francisco-Oak-San Jose
Santa Barbara/Santa Maria/San Luis Obispo,Campaign Manager,Santabarbra-Sanmar-Sanluob
Savannah,Campaign Manager,Savannah
Seattle/Tacoma,Campaign Manager,Seattle-Tacoma
Sherman-Tx/Ada-Ok,Campaign Manager,Sherman-Ada
Shreveport,Campaign Manager,Shreveport
Sioux City,Campaign Manager,Sioux City
Sioux Falls/Mitchell,Campaign Manager,Sioux Falls(Mitchell)
South Bend/Elkhart,Campaign Manager,South Bend-Elkhart
Spokane,Campaign Manager,Spokane
Springfield/Holyoke,Campaign Manager,Springfield-Holyoke
Springfield-Mo,Campaign Manager,"Springfield, MO"
Syracuse,Campaign Manager,Syracuse
Tallahassee/Thomasville,Campaign Manager,Tallahassee-Thomasville
Tampa/Saint Petersburg,Campaign Manager,Tampa-St. Pete (Sarasota)
Terre Haute,Campaign Manager,Terre Haute
Toledo,Campaign Manager,Toledo
Topeka,Campaign Manager,Topeka
Traverse City/Cadillac,Campaign Manager,Traverse City-Cadillac
Tri-Cities-Tn-Va,Campaign Manager,"Tri-Cities, TN-VA"
Tucson/Sierra Vista,Campaign Manager,Tucson (Sierra Vista)
Tulsa,Campaign Manager,Tulsa
Twin Falls,Campaign Manager,Twin Falls
Tyler/Longview/Lufkin/Nacogdoches,Campaign Manager,Tyler-Longview(Lfkn&Ncgd)
Utica,Campaign Manager,Utica
Victoria,Campaign Manager,Victoria
Waco/Temple/Bryan,Campaign Manager,Waco-Temple-Bryan
Washington Dc,Campaign Manager,"Washington, DC (Hagrstwn)"
Watertown,Campaign Manager,Watertown
Wausau/Rhinelander,Campaign Manager,Wausau-Rhinelander
West Palm Beach/Fort Pierce,Campaign Manager,West Palm Beach-Ft. Pierce
Wheeling/Steubenville,Campaign Manager,Wheeling-Steubenville
Wichita Falls/Lawton,Campaign Manager,Wichita Falls & Lawton
Wichita/Hutchinson,Campaign Manager,Wichita-Hutchinson Plus
Wilkes Barre/Scranton,Campaign Manager,Wilkes Barre-Scranton-Hztn
Wilmington,Campaign Manager,Wilmington
Yakima/Pasco/Richland/Kennewick,Campaign Manager,Yakima-Pasco-Rchlnd-Knnwck
Youngstown,Campaign Manager,Youngstown
Yuma/El Centro,Campaign Manager,Yuma-El Centro
Zanesville,Campaign Manager,Zanesville
Abilene-Sweetwater,Facebook: DMA Region,Abilene-Sweetwater
"Albany, GA",Facebook: DMA Region,"Albany, GA"
Albany-Schenectady-Troy,Facebook: DMA Region,Albany-Schenectady-Troy
Albuquerque-Santa Fe,Facebook: DMA Region,Albuquerque-Santa Fe
"Alexandria, LA",Facebook: DMA Region,"Alexandria, LA"
Alpena,Facebook: DMA Region,Alpena
Amarillo,Facebook: DMA Region,Amarillo
Anchorage,Facebook: DMA Region,Anchorage
Atlanta,Facebook: DMA Region,Atlanta
Augusta-Aiken,Facebook: DMA Region,Augusta-Aiken
Austin,Facebook: DMA Region,Austin
Bakersfield,Facebook: DMA Region,Bakersfield
Baltimore,Facebook: DMA Region,Baltimore
Bangor,Facebook: DMA Region,Bangor
Baton Rouge,Facebook: DMA Region,Baton Rouge
Beaumont-Port Arthur,Facebook: DMA Region,Beaumont-Port Arthur
"Bend, OR",Facebook: DMA Region,"Bend, OR"
Billings,Facebook: DMA Region,Billings
Biloxi-Gulfport,Facebook: DMA Region,Biloxi-Gulfport
Binghamton,Facebook: DMA Region,Binghamton
Birmingham (Ann And Tusc),Facebook: DMA Region,Birmingham (Ann And Tusc)
Bluefield-Beckley-Oak Hill,Facebook: DMA Region,Bluefield-Beckley-Oak Hill
Boise,Facebook: DMA Region,Boise
Boston (Manchester),Facebook: DMA Region,Boston (Manchester)
Bowling Green,Facebook: DMA Region,Bowling Green
Buffalo,Facebook: DMA Region,Buffalo
Burlington-Plattsburgh,Facebook: DMA Region,Burlington-Plattsburgh
Butte-Bozeman,Facebook: DMA Region,Butte-Bozeman
Casper-Riverton,Facebook: DMA Region,Casper-Riverton
Cedar Rapids-Wtrlo-Iwc&Dub,Facebook: DMA Region,Cedar Rapids-Wtrlo-Iwc&Dub
Champaign&Sprngfld-Decatur,Facebook: DMA Region,Champaign&Sprngfld-Decatur
"Charleston, SC",Facebook: DMA Region,"Charleston, SC"
Charleston-Huntington,Facebook: DMA Region,Charleston-Huntington
Charlotte,Facebook: DMA Region,Charlotte
Charlottesville,Facebook: DMA Region,Charlottesville
Chattanooga,Facebook: DMA Region,Chattanooga
Chicago,Facebook: DMA Region,Chicago
Chico-Redding,Facebook: DMA Region,Chico-Redding
Cincinnati,Facebook: DMA Region,Cincinnati
Clarksburg-Weston,Facebook: DMA Region,Clarksburg-Weston
Cleveland-Akron (Canton),Facebook: DMA Region,Cleveland-Akron (Canton)
Colorado Springs-Pueblo,Facebook: DMA Region,Colorado Springs-Pueblo
"Columbia, SC",Facebook: DMA Region,"Columbia, SC"
Columbia-Jefferson City,Facebook: DMA Region,Columbia-Jefferson City
"Columbus, GA (Opelika, Al)",Facebook: DMA Region,"Columbus, GA (Opelika, Al)"
